genre	filename	year	id	score	sentence1	sentence2
main-captions	MSRvid	2012test	0065	5.000	사람이 양파를 잘랐다.	사람이 양파를 자르고 있다.
main-captions	MSRvid	2012test	0068	1.000	한 남자가 피아노를 치고 있다.	한 여성이 바이올린을 연주하고 있다.
main-captions	MSRvid	2012test	0069	1.000	한 여성이 플루트를 연주하고 있다.	남자가 기타를 치고 있다.
main-captions	MSRvid	2012test	0070	2.375	남자가 감자를 자르고 있다.	남자가 당근을 자르고 있다.
main-captions	MSRvid	2012test	0071	3.800	한 아이가 기타를 치고 있다.	한 소년이 기타를 치고 있다.
main-captions	MSRvid	2012test	0072	3.200	한 소년이 기타를 치고 있다.	남자가 기타를 치고 있다.
main-captions	MSRvid	2012test	0073	3.200	남자가 기타를 치고 있다.	한 소년이 기타를 치고 있다.
main-captions	MSRvid	2012test	0075	4.400	어린 소년이 키보드를 연주하고 있다.	한 소년이 키보드를 하고 있다.
main-captions	MSRvid	2012test	0077	3.750	남자가 기타를 치고 있다.	한 남자가 일렉트릭 기타를 연주하고 있다.
main-captions	MSRvid	2012test	0078	4.750	개가 아기를 핥는다.	개가 아기를 핥고 있다.
main-captions	MSRvid	2012test	0080	3.200	한 여성이 양파를 자르고 있다.	남자가 양파를 자르고 있다.
main-captions	MSRvid	2012test	0081	1.556	남자가 기타를 치고 있다.	남자가 드럼을 치고 있다.
main-captions	MSRvid	2012test	0083	3.938	여자가 후추를 썰고 있다.	여자가 고추를 자르고 있다.
main-captions	MSRvid	2012test	0084	5.000	남자가 드럼을 치고 있다.	남자가 드럼을 연주한다.
main-captions	MSRvid	2012test	0085	5.000	여자가 말을 탄다.	여자가 말을 타고 있다.
